market,startups,total_funding,avg_funding
 Service Industries ,1,16820000.0,16820000.0
 Service Providers ,17,76014019.0,5847232.230769231
 Services ,80,1308540383.0,22178650.559322033
 Sex ,1,4800000.0,4800000.0
 Shared Services ,4,20088096.0,5022024.0
 Shipping ,12,27248901.0,3027655.6666666665
 Shoes ,14,450584337.0,34660333.615384616
 Shopping ,66,809794192.0,14723530.763636364
 Simulation ,2,2642000.0,2642000.0
 Skill Assessment ,5,4315217.0,863043.4
 Small and Medium Businesses ,47,126149165.0,3234593.9743589745
 Smart Building ,3,1235191.0,617595.5
 Smart Grid ,7,308184455.0,44026350.71428572
 Soccer ,4,1634813.0,408703.25
 Social + Mobile + Local ,9,21176147.0,3529357.8333333335
 Social Bookmarking ,13,14595000.0,1621666.6666666667
 Social Business ,7,32013402.0,4573343.142857143
 Social Buying ,14,112044059.0,8618773.76923077
 Social CRM ,9,99098000.0,19819600.0
 Social Commerce ,57,217311116.0,4724154.695652174
 Social Fundraising ,7,22238000.0,4447600.0
 Social Games ,38,69194691.0,2232086.806451613
 Social Innovation ,3,30100000.0,15050000.0
 Social Investing ,1,3230000.0,3230000.0
 Social Media ,876,3662653467.0,4942852.182186235
 Social Media Advertising ,10,18801261.0,1880126.1
 Social Media Agent ,1,10000.0,10000.0
 Social Media Management ,10,19332701.0,2148077.888888889
 Social Media Marketing ,50,236367299.0,5252606.644444444
 Social Media Monitoring ,13,62780483.0,5231706.916666667
 Social Media Platforms ,8,30665365.0,3833170.625
 Social Network Media ,176,568516863.0,3815549.4161073826
 Social News ,2,1010000.0,505000.0
 Social Opinion Platform ,1,7000000.0,7000000.0
 Social Recruiting ,15,90579543.0,6967657.153846154
 Social Search ,16,57746002.0,4442000.153846154
 Social Television ,5,4908039.0,1227009.75
 Social Travel ,12,27000248.0,2250020.6666666665
 Software ,4620,42223476814.0,10425549.830617284
 Software Compliance ,2,700000.0,700000.0
 Solar ,29,3223237268.0,128929490.72
 Space Travel ,1,37500000.0,37500000.0
 Spas ,3,1743500.0,871750.0
 Specialty Chemicals ,3,73500000.0,36750000.0
 Specialty Foods ,18,23317620.0,2119783.6363636362
 Specialty Retail ,5,204100000.0,51025000.0
 Speech Recognition ,4,20395476.0,5098869.0
 Sponsorship ,5,3995000.0,998750.0
 Sporting Goods ,6,7154570.0,1788642.5
 Sports ,254,1429422822.0,7811053.672131147
 Staffing Firms ,8,1646181.0,329236.2
 Startups ,144,344681129.0,2802285.601626016
 Stock Exchanges ,11,10813098.0,1081309.8
 Storage ,56,1256914830.0,27931440.666666668
 Subscription Businesses ,18,73234009.0,4307882.882352941
 Sunglasses ,2,30457208.0,15228604.0
 Supply Chain Management ,10,173224606.0,19247178.444444444
 Surveys ,5,18292132.0,3658426.4
 Sustainability ,13,201159530.0,15473810.0
 Swimming ,1,104000.0,104000.0
 Synchronization ,6,8885000.0,1777000.0
 Synthetic Biology ,1,0.0,
 Systems ,8,33959500.0,4851357.142857143
 TV Production ,1,50000000.0,50000000.0
 Tablets ,14,151215000.0,11631923.076923076
 Task Management ,13,82346912.0,7486082.909090909
 Taxis ,4,16437418.0,4109354.5
 Tea ,2,7409332.0,3704666.0
 Teachers ,7,5265000.0,877500.0
 Tech Field Support ,8,101308000.0,12663500.0
 Technical Continuing Education ,2,870000.0,870000.0
 Technology ,254,10103783218.0,44905703.19111111
 Teenagers ,6,7935890.0,1322648.3333333333
 Telecommunications ,68,2548330667.0,49006358.98076923
 Telephony ,5,37493975.0,12497991.666666666
 Television ,48,578314440.0,15630120.0
 Test and Measurement ,3,28905507.0,9635169.0
 Testing ,13,382394061.0,34763096.45454545
 Text Analytics ,4,8481427.0,2120356.75
 Textbooks ,8,9660931.0,1207616.375
 Textiles ,5,12742073.0,2548414.6
 Theatre ,1,60000.0,60000.0
 Therapeutics ,23,868446346.0,39474833.90909091
 Ticketing ,33,94232416.0,3624323.6923076925
 Timeshares ,1,5000000.0,5000000.0
 Tourism ,21,18118520.0,953606.3157894737
 Toys ,7,52302787.0,8717131.166666666
 Tracking ,32,206548062.0,7122346.9655172415
 Trading ,24,3521874394.0,160085199.72727272
 Training ,27,67940999.0,3088227.227272727
 Transaction Processing ,2,23500000.0,11750000.0
 Translation ,14,87120062.0,7260005.166666667
 Transportation ,162,3846607241.0,44727991.174418606
 Travel ,354,4058569232.0,14290736.732394366
 Travel & Tourism ,20,59357691.0,4565976.230769231
 Trusted Networks ,3,15195000.0,5065000.0
 Tutoring ,16,75871683.0,5419405.928571428
 Twin-Tip Skis ,2,8050000.0,4025000.0
 Twitter Applications ,36,178478704.0,5757377.548387097
 Unifed Communications ,9,118606025.0,14825753.125
 Universities ,9,2107864.0,351310.6666666667
 University Students ,7,5581500.0,1116300.0
 Unmanned Air Systems ,1,40000.0,40000.0
 Usability ,3,1585738.0,528579.3333333334
 User Experience Design ,17,13231073.0,882071.5333333333
 Utilities ,21,551236358.0,34452272.375
 Vacation Rentals ,11,96169232.0,9616923.2
 Vending and Concessions ,1,1100000.0,1100000.0
 Venture Capital ,41,270566790.0,9329889.310344828
 Ventures for Good ,4,60000.0,30000.0
 Vertical Search ,4,1635000.0,545000.0
 Veterinary ,2,34623.0,34623.0
 Video ,214,2315139717.0,13305400.672413792
 Video Chat ,8,3660000.0,522857.14285714284
 Video Conferencing ,10,14603250.0,1825406.25
 Video Editing ,3,625000.0,312500.0
 Video Games ,28,166049947.0,7219562.9130434785
 Video Processing ,2,670000.0,335000.0
 Video Streaming ,63,1080246258.0,19640841.054545455
 Video on Demand ,12,136381038.0,11365086.5
 Virtual Currency ,7,6174299.0,882042.7142857143
 Virtual Goods ,3,11000000.0,5500000.0
 Virtual Workforces ,4,70300000.0,23433333.333333332
 Virtual Worlds ,19,109562633.0,7304175.533333333
 Virtualization ,27,546766751.0,22781947.958333332
 Visual Search ,8,67185848.0,9597978.285714285
 Visualization ,9,19940086.0,3988017.2
 VoIP ,30,236021421.0,9440856.84
 Water ,7,11473899.0,1912316.5
 Water Purification ,7,163084178.0,23297739.714285713
 Wealth Management ,5,136491250.0,34122812.5
 Web Browsers ,8,30712253.0,5118708.833333333
 Web CMS ,14,393349588.0,39334958.8
 Web Design ,24,130799370.0,6228541.428571428
 Web Development ,103,732858972.0,8053395.296703297
 Web Hosting ,446,10721657556.0,27143436.85063291
 Web Presence Management ,1,40000.0,40000.0
 Web Tools ,44,521473705.0,13722992.236842105
 WebOS ,3,1447300.0,723650.0
 Weddings ,19,32695000.0,2179666.6666666665
 Weird Hardware ,1,0.0,
 Wholesale ,10,6803117.0,971873.8571428572
 Wind ,1,14000000.0,14000000.0
 Windows Phone 7 ,4,19260978.0,4815244.5
 Wine And Spirits ,19,11822248.0,1074749.8181818181
 Wireless ,76,3315152130.0,53470195.64516129
 Women ,12,75487095.0,9435886.875
 World Domination ,6,88824220.0,17764844.0
 Writers ,1,345000.0,345000.0
 Young Adults ,2,1100000.0,1100000.0
 iOS ,48,221407342.0,5271603.380952381
 iPad ,29,51562714.0,2343759.727272727
 iPhone ,69,210124149.0,3686388.5789473685
 iPod Touch ,3,4338000.0,1446000.0
 mHealth ,8,4902386.0,817064.3333333334
